id,category,description,quantity,amount_excl_tax,amount_inc_tax
0284f92e-54f7-4766-880d-2cc5a8993a89,SELL,Nike Running Shoes,5,399.95,479.94
05d7b23c-3b9a-45c1-a1a8-c947d5418b68,BUY,Fitbit Charge 5,5,449.95,539.94
0e2ff281-a559-4c74-a171-fdb7f193e33a,SELL,Patagonia Jacket,5,799.95,959.94
12012793-886c-45c5-a88d-bdbd78896bf9,SELL,Fitbit Charge 5,3,269.97,323.96
1e694828-8621-418a-b612-30fb8c73530c,SELL,Dell XPS 13,2,2199.98,2639.98
1e76ec55-07f8-4427-970b-0d11c3322f75,BUY,Nike Running Shoes,4,319.96,383.95
24f8da71-e469-4176-8005-a57dab7d686d,SELL,Levis Jeans,5,199.95,239.94
2af89ed0-04df-4843-9b34-6b8820802085,BUY,Amazon Echo Dot,4,99.96,119.95
2bd64c3e-0fc7-4e21-b3c0-f059740dd984,BUY,Dell XPS 13,2,2199.98,2639.98
2cee3bc6-2461-4dd6-986d-519f4326dbf6,SELL,Fitbit Charge 5,3,269.97,323.96
310bbc58-cf2b-4d42-8371-c0859c8b0023,SELL,Amazon Echo Dot,2,49.98,59.98
31e6c210-1209-4cde-83b7-926f55cbd164,BUY,Amazon Echo Dot,3,74.97,89.96
339c4b38-d398-4851-b3fa-b4763885d869,BUY,Amazon Echo Dot,5,124.95,149.94
3852e65e-bef0-4343-a4a4-204b7360333b,SELL,Levis Jeans,1,39.99,47.99
3f5152b3-6b36-4b1e-b43a-26b8ec85ccc6,SELL,Nike Running Shoes,2,159.98,191.98
4846fa16-3d9e-4892-8c36-610a716742f1,BUY,Nike Running Shoes,2,159.98,191.98
51f6b3e0-cbe4-4761-943b-c418010271b0,BUY,Patagonia Jacket,3,479.97,575.96
551a469e-347e-4bc6-8f76-24c9bb071f03,BUY,Levis Jeans,5,199.95,239.94
584d8d35-b8b9-40e9-9fdc-8fab59b9c181,BUY,Apple iPhone 14,5,3999.95,4799.94
5f1b0b55-22bd-48ab-b316-04adcce5ff7a,SELL,Nike Running Shoes,5,399.95,479.94
6138a6a4-67b8-4581-b228-8d8e44e6578a,SELL,Dell XPS 13,1,1099.99,1319.99
6c9fc7b3-515b-42ed-bc02-85e6db672687,SELL,Apple iPhone 14,3,2399.97,2879.96
6efa1de4-1b22-42a4-800d-6cc9542d63cb,SELL,Dell XPS 13,4,4399.96,5279.95
70a85766-6fcf-4030-a846-a809fb346650,BUY,Amazon Echo Dot,4,99.96,119.95
70f4d43b-0055-429e-ad73-27ddd86c4852,SELL,Amazon Echo Dot,5,124.95,149.94
8d246b74-b676-4d3b-a3d3-492958534e12,SELL,Levis Jeans,1,39.99,47.99
8f29002a-fcec-4520-8a39-61ca18719250,BUY,Ray-Ban Sunglasses,3,329.97,395.96
94ca3d4f-e5cf-46a4-aeae-42d9835f0c31,SELL,Fitbit Charge 5,2,179.98,215.98
9a348783-5d73-4182-8d3d-1c9454a2a0c6,BUY,Apple iPhone 14,5,3999.95,4799.94
9e8e3262-7ed9-4148-9092-c90cdab37da2,BUY,Ray-Ban Sunglasses,4,439.96,527.95
aad54a55-ae03-4863-95ef-60ebc82d3b84,BUY,Levis Jeans,4,159.96,191.95
ac82915d-ad0f-49ae-89d7-908ff0f462a9,SELL,Fitbit Charge 5,5,449.95,539.94
ae37b64e-99cd-4a4c-88a6-80ede1c8e617,BUY,Nike Running Shoes,1,79.99,95.99
b05af377-7236-4499-858e-0ff4e286393c,SELL,Fitbit Charge 5,4,359.96,431.95
b1fbb06a-f34d-4d4a-a8da-8e4bb3f1e95e,BUY,Levis Jeans,3,119.97,143.96
b9b09c8a-1895-467e-8c4a-35bb650371b7,BUY,Patagonia Jacket,5,799.95,959.94
b9c6c109-88db-4107-81d6-4cc66c223189,SELL,Patagonia Jacket,1,159.99,191.99
bb7b3a74-e079-418f-8e1f-db14f331b80d,SELL,Amazon Echo Dot,3,74.97,89.96
c320c733-a47f-412d-b730-aa9fc684f016,BUY,Apple iPhone 14,2,1599.98,1919.98
c71be989-7534-4cb7-99c9-edfe6a09f1f9,BUY,Apple iPhone 14,1,799.99,959.99
cf05801c-069c-495e-b1f3-7514508d5b97,BUY,Amazon Echo Dot,5,124.95,149.94
d0d36ed0-3795-4256-a405-8c91176c3c39,SELL,Fitbit Charge 5,3,269.97,323.96
d6452aab-7c5a-4af9-b74a-8c1b81f56319,BUY,Nike Running Shoes,3,239.97,287.96
d7d024da-377e-4952-9058-ae5b88ff237d,BUY,Dell XPS 13,1,1099.99,1319.99
dfd20550-7dfe-4d3b-8058-65e6d9f3ae94,SELL,Apple iPhone 14,5,3999.95,4799.94
ebb77d58-f176-41bb-8089-ea1f8b4e804f,SELL,Amazon Echo Dot,1,24.99,29.99
f228d1fd-1f1e-414f-91ee-9d6bdcf039d4,BUY,Dell XPS 13,1,1099.99,1319.99
f39021fa-61a2-45cf-a304-b46f4502c8bc,BUY,Apple iPhone 14,3,2399.97,2879.96
f3cea6b8-6c73-4fad-a7bf-ac06e82d1885,BUY,Apple iPhone 14,3,2399.97,2879.96
f8de5752-7c8f-421f-9561-8c4bc919a1cb,BUY,Dell XPS 13,5,5499.95,6599.94
0d09d682-b4f7-4022-b536-c88455f69102,BUY,Patagonia Jacket,1,159.99,191.99
1bf312a5-f1cf-406c-a2ed-91dfee868b41,BUY,Ray-Ban Sunglasses,1,109.99,131.99
014bf09c-ee81-4b16-af12-aadf814073c7,BUY,Dell XPS 13,3,3299.97,3959.96
7e04d4be-c0e2-47ee-9b86-9edef307a935,SELL,Amazon Echo Dot,2,49.98,59.98
